Taxonomy,SuperKingdom,Phylum,Class,Order,Family,Genus,Species,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,c5,c6,c7
Archaea;Candidatus Korarchaeota;UNASSIGNED;UNASSIGNED;UNASSIGNED;Candidatus Korarchaeum;Candidatus Korarchaeum cryptofilum,Archaea,Candidatus Korarchaeota,UNASSIGNED,UNASSIGNED,UNASSIGNED,Candidatus Korarchaeum,Candidatus Korarchaeum cryptofilum,5.04638031938744,2.46056881768261,6.76992956269541,3.50719088528381,4.32839048659757,2.63014885046467,2.27209377866758,4.35802617448792,5.07146496868679,2.97008606249959,2.4531521809593,3.57200117929735,4.88211551090531,4.29809683410235
Archaea;Candidatus Micrarchaeota;UNASSIGNED;UNASSIGNED;UNASSIGNED;Candidatus Mancarchaeum;Candidatus Mancarchaeum acidiphilum,Archaea,Candidatus Micrarchaeota,UNASSIGNED,UNASSIGNED,UNASSIGNED,Candidatus Mancarchaeum,Candidatus Mancarchaeum acidiphilum,0,0.425003147156277,0.128433117287593,0.133183218735324,0.13197135661003,0.319807222769995,0.836064281283292,0.689102534324681,0.529148089165607,0.492934052048221,0.127775691170197,0.370235589611779,1.42786561810945,1.03014934983401
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;Acidilobus saccharovorans,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus saccharovorans,12.0210852734498,8.12765111290166,9.38473317156418,11.547076584732,6.85231826077782,9.17885144705884,6.78392691339611,10.319879568899,4.08073605944569,11.459095396395,11.1791222074407,9.30768519793532,8.30908464826291,7.405423790855
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;Acidilobus sp. 7A,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,Acidilobus sp. 7A,4.20027840577067,4.51616127198097,1.21538084605909,3.89196580258121,5.29031752793932,3.02191582198563,5.22590639676803,1.50662411782754,3.01012175875203,3.400889690199,2.0730524424881,2.03760779653426,2.66639202461719,7.23488400235002
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;UNASSIGNED,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,UNASSIGNED,0,0,0.101900263270046,0,0.314122625067662,0.0845795354660523,0.331671348374566,0,0,0,0.101378654078756,0,0.339865337241151,0
Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera;Caldisphaera lagunensis,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,Caldisphaera lagunensis,9.8304058382857,6.93357807467026,7.5362774646211,4.32611318970667,3.21423224762137,3.39081542023643,4.9975148887872,7.310729336794,6.45711877251117,6.04120335078492,3.70478958548394,9.79195777166317,4.89066792897979,2.71306607990324
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus amylolyticus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus amylolyticus,1.8121028914315,1.81081296836778,0.873621659321779,0.75553561849747,1.74566383219199,0.820536024476806,2.26510959505581,2.4817537491749,3.05413476556189,0.94333042593205,1.92226417592846,2.11850366883721,1.88828587697842,1.25046044983442
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus mucosus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,Desulfurococcus mucosus,1.2630354942647,3.35943461670436,2.91135690856543,2.99222818234176,1.43712612724451,3.31266297367578,1.98221358347753,3.83821480341517,10.1484929281874,6.33342922502226,5.26253434619634,4.40668049445604,4.79858905514979,2.81629022577634
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;UNASSIGNED,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,UNASSIGNED,14.8353555661094,8.17894831464701,11.7596370594568,17.2066048797452,20.4027059857899,39.2881037538437,28.2113403063201,20.7347587097503,16.6752807590728,16.1138173292079,25.4044197152728,19.8396981812356,18.1306624855083,23.9026485281646
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus hospitalis,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus hospitalis,4.09605272938147,2.74014513846,3.87257063244157,2.46109085706844,2.05288873555399,2.13593719786439,2.31012630810729,3.00517904920843,1.73111543992412,1.09554938691459,2.28308095433139,2.50716927265989,2.26284417784544,1.56734495739213
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus islandicus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus islandicus,2.80377958461051,5.28206984489632,5.29730581251049,4.39129665076205,3.9615007420008,4.58087581934885,3.41923051959173,6.3254551907131,3.08826049896414,3.46552514886175,2.51249696485346,2.18528368387863,10.3661386938806,4.17468191333281
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;Staphylothermus hellenicus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus hellenicus,8.22268883554871,1.40855400835051,5.61865430996227,0,0.262429280231413,0,0.2770901115721,0,0.116914218477722,0,0.254086064781103,0,0,0
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;Staphylothermus marinus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,Staphylothermus marinus,10.3776010925426,10.693170201326,4.6260048379548,3.36250291950175,4.86564453313732,6.29075329905648,5.45179538456359,4.11484258336047,3.15970553255368,5.76923828356914,7.24966498779766,4.20670978356851,5.03514930962665,5.89841293952656
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;Thermogladius calderae,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,Thermogladius calderae,21.2278292155548,33.0991028092532,19.5730135239213,19.7913736665841,25.007631361017,28.7116114820123,27.70603499998,22.3981956313903,20.6252706545817,14.6471943427124,21.4693150420091,20.4687766718518,12.3047160140692,13.1003380573746
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;Thermosphaera aggregans,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera,Thermosphaera aggregans,2.40457873911478,2.19460981202093,0.919416241042857,0.52882130825645,0.472372746150893,0.245625133411974,0.73098000298395,0.274060527543419,0.406407550368145,0.861955098198978,0.701770895777018,1.18809464816113,0.328997900583447,1.73747741526211
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;Hyperthermus butylicus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Hyperthermus butylicus,2.78903657651815,2.8092962386033,0.610298214748896,1.11395923376846,0.53514540401127,2.03811992950301,0.731604564496192,1.26928382676758,3.0209310985744,3.21596309862734,0.518131931280743,1.41530839084181,1.21255657994183,0.351767844400416
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium;Pyrodictium delaneyi,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,Pyrodictium delaneyi,8.20823054460769,5.31454383941239,3.41489963248481,5.12718556198217,10.7127536419866,5.23822889300663,5.39420227119463,2.14123253963088,6.34896572225562,3.68438018060324,5.84803304901359,3.69606897449172,3.92143313425666,9.68955817933512
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;Pyrolobus fumarii,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrolobus,Pyrolobus fumarii,6.95506607632803,8.18598344497565,2.8356311317707,9.92950568812198,5.25956346076305,6.0356408500909,5.15627247330101,6.40212487171434,6.64052875876583,17.2757799171668,4.26777000860285,7.90814064004222,6.69547585568823,4.35798198380742
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;UNASSIGNED;UNASSIGNED;UNASSIGNED,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,UNASSIGNED,UNASSIGNED,UNASSIGNED,0.180069430789283,0,0,0.904758868901281,0.149421046269534,0.362093192480034,2.36652867082146,1.82050855623745,0,1.11622284851664,2.17005924083371,2.09594682463867,0.969997642233804,0
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus brierleyi,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus brierleyi,1.84576008870708,0.176157632883706,0.798504931433081,1.1592527135241,0.328201265488407,0.662777249053629,0.86634125955852,0.285622993789649,0.438648398046211,0.204314006514071,0.158883505549747,0,0.355097738515853,0.213490973181807
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus hospitalis,3.53189664347386,2.73159798450781,2.46258769177407,1.8478472401785,2.12046070342655,0.680741106077369,2.01271668022909,0.730917364114852,2.58508678309792,4.6845519171719,1.25767537164478,2.63357588216019,3.9971436803843,1.39022782033575
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus sulfidivorans,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus sulfidivorans,2.47596217301045,2.09302466922304,2.36792738949575,0,0,0.0794023087461586,2.17958510442796,0.171091608608104,1.44515616448236,0.122386547286886,0,0,0.319061724458993,0
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera cuprina,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera cuprina,2.80866282647907,2.91927791561255,1.5660265711224,0.670557823349845,1.40063579358321,0.777613388680384,3.35619354940075,0.338403793406683,1.95557322644224,0.976038295647106,0.329591918782727,0.0606049761528203,0,0.61452456131587
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera hakonensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera hakonensis,1.83850888835858,11.5740329562117,1.58966469292449,4.72247065931547,3.4641654622849,7.55908268237248,5.15786915833038,4.95663796244917,3.26649351193821,5.82622600624932,3.45349900944661,1.23930442346278,2.6443148182745,7.42445169686544
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula,8.02001749422212,2.86380915388474,7.30860277034419,1.09677662475305,2.12517700883975,0.692204363762706,2.99094368294973,2.06500031198175,3.77366010525015,2.01627691191738,3.38866350559694,0.852474467409974,2.67800301816687,0.653782839037582
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Saccharolobus;Saccharolobus solfataricus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,Saccharolobus solfataricus,3.856958401835,3.49349233875448,7.9721259662406,5.35592453974466,3.62670476531025,6.94134967466514,6.1756377182931,5.92155526487213,4.73961777301225,2.60959703980791,3.87610983555015,2.79705562439192,4.19231339009527,6.52719413619499
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfodiicoccus;Sulfodiicoccus acidiphilus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfodiicoccus,Sulfodiicoccus acidiphilus,1.2004333633244,2.80823487345608,4.04076813588552,1.90017307081895,2.61516338430492,2.5058689709768,2.48101677425132,2.59937077982943,1.89936819316261,2.85529178582864,4.53236199174881,2.44554723183946,1.80726681261128,1.75641983541021
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus acidocaldarius,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius,7.13446976874896,12.0796993737231,11.94279086533,6.77473763492957,7.65296424322577,5.67636007692769,10.1628575616013,4.74064637232213,6.44988650056896,7.05080464805575,5.14779773215182,3.58524286148158,4.20876735090986,5.79835272761759
