BinBase name,ret.index,quant mz,BB id,PubChem,KEGG
xylulose ,553450,173,31632,439205,C00312
xylose,544100,103,114791,135191,C00181
xylitol,567437,217,5857,6912,C00379
xanthine,701688,353,1669,1188,C00385
vanillic acid,597845,297,16595,8468,C06672
valine,313502,144,3,6287,C00183
urea,328888,189,441,1176,C00086
uracil,385735,241,1664,1174,C00106
UDP-N-acetylglucosamine,625003,226,62293,445675,C00043
tyrosine,671252,218,16,6057,C00082
tyramine,664737,174,17381,5610,C00483
trehalose,948197,191,111823,7427,C01083
thymine,420133,255,1692,1135,C00178
thymidine,349402,170,87703,5789,C00214
threose,446119,205,100335,441031,C06463
threonine,408777,218,171298,6288,C00188
threitol,467595,217,770,169019,C16884
tagatose ,631835,307,33981,439312,C00795
sucrose,915139,271,173,5988,C00089
succinic acid,370608,247,161,1110,C00042
sophorose,965726,307,62354,441432,C08250
shikimic acid,611100,204,286,8742,C00493
serine,395020,218,25,5951,C00065
salicylic acid,480699,267,3063,338,C00805
ribose,553135,217,1662,5779,C00121
ribitol,575497,217,7362,827,C00474
raffinose,1120886,361,3190,439242,C00492
pyruvic acid,213805,174,5864,1060,C00022
pyrrole-2-carboxylic acid,394886,240,483,12473,C05942
proline,364523,142,171970,145742,C00148
pipecolinic acid,404121,156,2448,439227,C00408
pinitol,622466,260,16544,164619,C03844
pimelic acid,523205,155,33429,385,C02656
phytanic acid,770604,159,117487,10380830,
phosphoethanolamine,603912,299,1723,1015,C00346
phosphate,345365,314,4,1004,C00009
phenylethylamine,510327,174,2005,1001,C05332
phenylalanine,537804,218,33,6140,C00079
pentose,540818,103,360841,,
pentitol,563801,307,3469,827,D00061
pentadecanoic acid,674647,117,1680,13849,C16537
parabanic acid ,464991,100,4944,67126,C00802
pantothenic acid,690887,291,31356,6613,C12276
palmitoleic acid,704511,311,31379,445638,C08362
palmitic acid,713809,313,11,985,C00249
palatinitol,996670,204,114235,88735,
oxoproline,485935,156,10,7405,C01879
ornithine,619196,142,171971,88747248,C00077
oleic acid,779120,339,43,445639,C00712
oleamide ,849710,144,20961,5283387,C19670
octadecanol,755409,327,997,8221,
nonadecanoic acid,822782,117,46258,12591,C16535
nicotinic acid,366992,180,285,938,C00253
N-acetylmannosamine,735323,319,3244,439281,C00645
n-acetyl-d-hexosamine,746341,319,1674,24139,C03878
myristic acid,634414,285,127,11005,C06424
myo-inositol,730022,305,1741,892,C00137
methylmalonic acid,311617,147,8205,487,C02170
methionine,483560,176,45,6137,C00073
melezitose,1146704,361,16664,92817,C08243
mannose,645856,205,70,18950,C00159
malic acid,463180,233,1391,525,C00711
lyxose,541086,217,85112,439240,C00476
lyxitol,573587,217,233,439255,C00532
linolenic acid,780376,108,4704,5280934,C06427
linoleic acid,777414,150,165,5280450,C01595
lignoceric acid,978597,132,104210,11197,C08320
levoglucosan,569637,204,3169,2724705,
leucine,346101,158,9,6106,C00123
lactic acid,219848,191,46123,612,C01432
isothreonic acid,489385,292,1679,151152,C00639
isomaltose,983199,160,127715,439193,C00252
isoleucine,359251,158,15,6306,C00407
isoheptadecanoic acid ,737927,117,46259,164860,
inositol-4-monophosphate,845976,315,4759,440043,C03546
hypoxanthine,619128,265,1663,790,C00262
