GenestoSearch,CAZyme,Geneid,Chr,Start,End,Strand,Length,n1,b1,b2,b3,b4,b5,b6,b7,c1,c2,c3,c4,c5,c6,c7
k141_1000121_9,AA12,997683_9,k141_1000121,5807,7114,+,1308,0,0,0.000249988926608997,0.000339926326959528,0.000235287826362595,0.000233076950637115,0.000188366149344572,0.00012305964414508,0.000405866418389895,0.000467445324795451,0.000580577545164138,0.000225759498937181,0.000872331718479138,0.000378497851696441,0
k141_1002441_2,GH23,999997_2,k141_1002441,520,1122,-,603,0,0,0.00189792588062353,0.000245784209874551,0.00102075116710539,0.00176952948593153,0.000204297614712024,0,0.00220096714450242,0.00202792200607778,0.000629681118635731,0.0014691215154718,0.000946111018052,0,0
k141_1002829_1,GH10,1000385_1,k141_1002829,3,1034,-,1032,0,0,0.000158423215118492,0,0.0001491068201949,0.000443117225920562,0.000358114714160902,0.00031194188864683,0,0.000197486590708156,0.000735848283987104,0.000143068519675306,0.000276407434052983,0.000479724021336187,0.000961201049334454
k141_1003074_2,GH29,1000630_2,k141_1003074,216,1562,-,1347,0,0,0.000242750939869761,0.000110028120678808,0.000342713225926808,0.000226328620217778,0.000731649364046624,0.000119496670038429,0,0.000302607515383544,0,0.000328834548563288,0.00021176872453057,0.000367539116569373,0.000736421293922165
k141_1006231_4,GH0,1003783_4,k141_1006231,2626,3606,-,981,0,0.0028084865962543,0.00183325212846597,0.00211509714552595,0.00266659536544274,0.00217538487261307,0.00251154865792763,0.00147671572974095,0.00162346567355958,0.00270079520992927,0.0021287843322685,0.00285962031987096,0.00232621791594437,0.00218687647646833,0.00343798393670207
k141_1006461_5,GH103,1004013_5,k141_1006461,3379,4638,-,1260,0,0.00918375116975156,0.00908293100012687,0.00917477343431715,0.00464077227044699,0.00568596770530448,0.00508409206897636,0.00485440996237066,0.00505593595479984,0.00517602950122709,0.00527357936857425,0.00574181658963563,0.00441462158958907,0.00497694635468781,0.0056683399023609
k141_1007636_7,GH16,1005183_7,k141_1007636,6894,7745,+,852,0,0.0004311620267489,0.000575678725360154,0.000695811636405418,0.000722433044324586,0.000357822360837261,0.000578363669818546,0.000188922552279066,0.000311545349327455,0.000478418219743702,0,0.000519882789806043,0,0.000387382777792602,0.000931417354848035
k141_1008865_1,GH103,1006409_1,k141_1008865,125,1327,-,1203,0,0.000152680817452229,0.000543616817962706,0.000246397138078726,0.000639560425773636,0.000253420325381003,0.000102403542536451,0.000267601021682068,0.000661936752187011,0.000169414930682308,0.00015781284893489,0.000245464193358132,0.000474235198574693,0.000548711765052863,0
k141_1009789_3,GH2,1007327_3,k141_1009789,894,3584,+,2691,0,6.82553041230142e-05,0.000243021565220786,0,0.000400277840612396,0.000623097578180381,0.000320453449163676,0.000239259776353421,9.86386613255264e-05,0,0.000141099113540448,0.000548668570438187,0.000477010822646619,0.000245299239449496,0.000368621138206301
k141_101124_1,GH23,100885_1,k141_101124,2,520,-,519,0,0.000353901779181178,0,0,0,0.000293703903114977,0.000237363124607611,0,0,0,0,0.000284483068024887,0,0.000317967366743061,0.00038225798956191
k141_1013915_22,GH23,1011449_22,k141_1013915,20882,21898,-,1017,0,0.00144483794214381,0.00048227952213063,0.000582921842888315,0.00121044828665594,0.00134895863466082,0.000726793284196757,0.00126617120583492,0.000782998931053072,0.000400798744564045,0.000560026127636203,0.00188732277282587,0.00154266331925735,0.000649066129162826,0.000585226833577084
k141_1016277_2,GH23,1013806_2,k141_1016277,204,1643,+,1440,0,0.000255104199159766,0.000454146550006344,0.000411688551539872,0.000106859887806345,0.000317567345243069,0.00017109925232132,0.000335337530295342,0.000184330998352077,0,0,0.000205064878201273,0,0.000343802215290934,0
k141_102073_2,GH3,101831_2,k141_102073,355,1581,-,1227,0,0.000299388791189945,0,0.000241577634155426,0.00100328109823072,0.000993853794403737,0.00150600808889181,0.000393550157803824,0.000216329778017108,0,0.00154726045043743,0.00132364615758279,0.000929918408941086,0.0018829265580726,0.00145519728544717
k141_1023066_5,AA12,1020585_5,k141_1023066,2832,4577,+,1746,0,0.00273513780542429,0.00337098470107801,0.00314071678494335,0.00246769225449704,0.00218259343809669,0.00190502260316521,0.00165940221177076,0.00258443461607036,0.0040854614297701,0.00239213909502337,0.000761065527344929,0.00130699872596874,0.0017958053857121,0.00136351818957135
k141_1024965_2,GH43_10,1022479_2,k141_1024965,262,765,+,504,0,0,0,0,0,0,0,0.000958107229415262,0,0,0,0,0.000565977126870393,0,0.000393634715441729
k141_1025055_3,GH29,1022569_3,k141_1025055,1541,2908,+,1368,0,0.00067132683989412,0.000478049000006677,0.00108339092510493,0.000224968184855463,0.000111427138681779,0,0.000470649165326796,0,0.000148981112288609,0.000138778404436164,0.000215857766527655,0,0.000120632356242433,0.000145023316215374
k141_1025055_4,GH27,1022569_4,k141_1025055,2974,4176,-,1203,0,0.000458042452356686,0.000679521022453382,0.00110878712135427,0.000127912085154727,0.000253420325381003,0,0.000802803065046205,0,0.000169414930682308,0,0.000368196290037198,0.000118558799643673,0.000137177941263216,0.000164914294748655
k141_1025252_12,GH42,1022765_12,k141_1025252,10614,12227,+,1614,0,0.00102421016763029,0.000709076397779421,0.00101009086994913,9.53396768532446e-05,0,0.000152653608019021,0.000199457267090166,0.000657835533152395,0.000631369769550238,0.000235252611237513,0.000274436268224751,0.000176736351885178,0,0.000614596953477792
k141_1026432_3,GH127,1023940_3,k141_1026432,910,1755,+,846,0,0,0,0,0.000363778341468409,0.000540540162115862,0.00029123276990863,0.000570787285609092,0,0,0.000673222898115862,0.000523569901790483,0.00101153358844921,0.000390130173379784,0.000703517363768196
k141_1027619_3,GH23,1025123_3,k141_1027619,1310,1885,-,576,0,0.000318880248949707,0.000283841593753965,0,0.000534299439031725,0,0,0.00055889588382557,0.00230413747940097,0.000353830141685446,0.000329598710535891,0.000512662195503181,0,0.000573003692151557,0.000688860752023026
k141_1028385_3,GH15,1025888_3,k141_1028385,941,1435,-,495,0,0,0,0,0,0.000615888184713831,0,0.000650351573906118,0.00053623563156968,0,0,0,0,0,0.000801583420535884
k141_10289_4,GH37,10260_4,k141_10289,1182,2963,+,1782,0,0,0.000183493555558119,0.000166338808702979,0.000518108546939855,0.000513240153928193,0.000345655055194586,0.000270979822460882,0.000744771710513444,0.00102932404853948,0.00106536956940894,0.000745690466186446,0.000400185847282096,0.00129649320244393,0.000445324122519936
k141_1031582_3,GH23,1029078_3,k141_1031582,886,1542,-,657,0,0.000559132491309075,0.00049769484932202,0,0,0,0.000375012059882345,0,0,0.000310207247505048,0,0.00044945726729046,0.000217087117155767,0.000251179700669176,0
k141_1032844_1,GH29,1030335_1,k141_1032844,2,940,-,939,0,0.00019560705366883,0,0.000157835866405063,0.000327749176658439,0.000324669490344352,0,0.000342837091675749,0.000282680125268362,0,0,0.000786191226330757,0.000911349750615585,0,0.000422559950122751
k141_1033806_1,GH43_7,1031293_1,k141_1033806,1,1095,-,1095,0,0.00067095898957089,0.000149308454796606,0.000135349660780232,0.000281056143271483,0.000417622810182666,0,0.000146997273554122,0,0.000372248697006058,0.000520133855530611,0.000404511540561414,0.000260504540586921,0.000150707820401505,0
k141_1034791_2,GH29,1032275_2,k141_1034791,877,2235,+,1359,0,0,0,0.000218113139888674,0,0.000785155467267632,0.000453243052506808,0.000592207559020471,0.000390635228295793,0,0.000558789866868795,0.00108643644080144,0.00136434221311803,0.000485724984075492,0.00145983735528058
k141_1035449_37,GH140,1032932_37,k141_1035449,56231,61444,-,5214,0,0.000704545544284738,0.000627129873426482,0.000142124931486722,0.000973912901526183,0.000555468774188107,0.000354405816085588,0.000432195666203433,0.00066180979845625,0.00160261845532096,0.000910284125760803,0.000707933986885866,0.000902697696021133,0.00126601506206098,0.000228299075469081
k141_1035605_1,GH62,1033088_1,k141_1035605,2,1129,+,1128,0,0.000325664935097573,0,0.00065694981628703,0.000272833756101306,0,0.000327636866147208,0,0,0,0,0.000261784950895242,0.000126441698556152,0,0.000527638022826147
k141_1038991_6,AA12,1036465_6,k141_1038991,4481,5773,-,1293,0,0.000568213529450986,0.000379333545248918,0.000229246525219418,0.000238017383512973,0.000353671289365831,0,0.000622436251128245,0.000615862268276082,0.000788113540645077,0.000734140979383886,0.000799324815262501,0.000661838682001573,0.000255259185366819,0.000306870683035779
k141_1039896_1,GH29,1037368_1,k141_1039896,2,1006,+,1005,0,0.000913806086542444,0,0.000294941051849461,0.000153112675065808,0.000303347911873976,0.000612892844136071,0.000480483625497803,0,0.000202792200607778,0.000377808671181439,0.00014691215154718,0,0,0.000592214616664571
k141_1040347_4,GH103,1037818_4,k141_1040347,5766,6950,-,1185,0,0.0062000007897057,0.00538077431399921,0.00600335710599915,0.00662260773037804,0.00501676008687785,0.00332668926032339,0.00353165601526233,0.00492793757619731,0.00773947449155001,0.00592777022695435,0.0059806263212118,0.00686050248976061,0.00459563467528135,0.00636193423640506
k141_1041067_3,GH23,1038537_3,k141_1041067,659,1348,-,690,0,0.000532391372159511,0.000236946026090266,0,0.000892047759079054,0,0,0.000233278281944586,0,0,0,0,0.00041340937962707,0.000717500275389776,0
k141_1042040_1,GH51,1039507_1,k141_1042040,342,1919,-,1578,0,0.00128037088551669,0.00124329093537858,0.00131489879579275,0.000390058906061183,0.000386393728052403,0.000390340499592365,0.000408015245986728,0.00016821079697528,0.00025830945704793,0,0,0,0,0.00037717090605063
k141_1043269_2,GH103,1040734_2,k141_1043269,969,2030,+,1062,0,0,0,0.000558221764799827,0.000289789526254495,0.000574133053546792,0.0002319989861984,0.000303129970888445,0,0,0.000178765402324551,0.000139027036068659,0.000268599314446966,0.000621563327079655,0.000560429086391614
k141_1045937_5,GH1,1043400_5,k141_1045937,2264,3778,-,1515,0,0.00193980222727426,0.00194248821388852,0.0017608856857943,0.00111726773785644,0.000704307775588589,0.00024394348845812,0.000424982216611918,0.000350411402807909,0.000807153115290364,0.000877189439525222,0.000974565757788226,0.000470713650070426,0.000544637172738114,0.000654758734596143
